Index,Address,FLAG,Avg min between sent tnx,Avg min between received tnx,Time Diff between first and last (Mins),Sent tnx,Received Tnx,Number of Created Contracts,Unique Received From Addresses,Unique Sent To Addresses,min value received,max value received ,avg val received,min val sent,max val sent,avg val sent,min value sent to contract,max val sent to contract,avg value sent to contract,total transactions (including tnx to create contract,total Ether sent,total ether received,total ether sent contracts,total ether balance, Total ERC20 tnxs, ERC20 total Ether received, ERC20 total ether sent, ERC20 total Ether sent contract, ERC20 uniq sent addr, ERC20 uniq rec addr, ERC20 uniq sent addr, ERC20 uniq rec contract addr, ERC20 avg time between sent tnx, ERC20 avg time between rec tnx, ERC20 avg time between rec 2 tnx, ERC20 avg time between contract tnx, ERC20 min val rec, ERC20 max val rec, ERC20 avg val rec, ERC20 min val sent, ERC20 max val sent, ERC20 avg val sent, ERC20 min val sent contract, ERC20 max val sent contract, ERC20 avg val sent contract, ERC20 uniq sent token name, ERC20 uniq rec token name, ERC20 most sent token type, ERC20_most_rec_token_type
1,0x0020731604c882cf7bf8c444be97d17b19ea4316,1,1457.31,34.12,4815.43,3,13,0,10,3,1,2.501052,1.348445,1.000875,11.277872,5.842916,0,0,0,16,17.52874745,17.52978485,0,0.0010374,,,,,,,,,,,,,,,,,,,,,,,,,
2,0x002bf459dc58584d58886169ea0e80f3ca95ffaf,1,3976.5,834.77,9622.53,2,2,0,1,2,0.586269,0.947515,0.766892,0.585408,0.947284,0.766346,0,0,0,4,1.53269261,1.53378461,0,0.001092,1,1.337,0,0,0,1,0,1,0,0,0,0,1.337,1.337,1.337,0,0,0,0,0,0,0,1, ,Blockwell say NOTSAFU
3,0x002f0c8119c16d310342d869ca8bf6ace34d9c39,1,112.9,31.87,321.42,2,3,0,3,1,0.00102,0.8178,0.439607,0.50039,0.817506,0.658948,0,0,0,5,1.317896,1.31882,0,0.000924,1,1.337,0,0,0,1,0,1,0,0,0,0,1.337,1.337,1.337,0,0,0,0,0,0,0,1, ,Blockwell say NOTSAFU
4,0x0059b14e35dab1b4eee1e2926c7a5660da66f747,1,2300.37,65.1,73091,29,98,0,89,26,0.000784,15.729068,0.383225,0,36.7,1.314957,0,0,0,127,38.13376706,37.55604606,0,-0.577721002,96,142677.3829,120354.7684,0,6,55,0,37,0,0,0,0,0,26436.081,1954.484697,0,81324.0746,5232.816018,0,0,0,22,37,OCoin,OCoin
5,0x005b9f4516f8e640bbe48136901738b323c53b00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
6,0x00650a784ee109797ba8c05f3496bdbf2b2b7a1c,1,59129.36,0,118258.72,2,1,0,1,2,0.68,0.68,0.68,0.0033,0.676,0.33965,0,0,0,3,0.6793,0.68,0,0.0007,1,14,0,0,0,1,0,1,0,0,0,0,14,14,14,0,0,0,0,0,0,0,1, ,ELF
7,0x0084515449b037205a33d6d3940a5684126aa4b5,1,1819.9,638.12,8744.77,2,8,0,7,2,0,1.01947,0.343872,0.74909,2.000162,1.374626,0,0,0,10,2.74925268,2.75097468,0,0.001722,1,13.37,0,0,0,1,0,1,0,0,0,0,13.37,13.37,13.37,0,0,0,0,0,0,0,1, ,Blockwell say NOTSAFU
8,0x008f3db10374099a11ec263415cb88c952abeedc,1,6556.08,255.89,53728.05,8,5,0,4,8,0.0001,50,23.40002,11.996572,15,14.624572,0,0,0,13,116.996572,117.0001,0,0.003528,1,1386.486552,0,0,0,1,0,1,0,0,0,0,1386.486552,1386.486552,1386.486552,0,0,0,0,0,0,0,1, ,XENON
9,0x00c8bd3cd1e649a3fd2a89b3edc1c2ab631227a0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.337,0,0,0,1,0,1,0,0,0,0,1.337,1.337,1.337,0,0,0,0,0,0,0,1, ,Blockwell say NOTSAFU
10,0x00d07f8c2194f14c8d694680f2b8c0be66d4d5e9,1,0,0,0,0,1,0,1,0,0.000683,0.000683,0.000683,0,0,0,0,0,0,1,0,0.000683003,0,0.000683003,1,13.37,0,0,0,1,0,1,0,0,0,0,13.37,13.37,13.37,0,0,0,0,0,0,0,1, ,Blockwell say NOTSAFU
11,0x00e01a648ff41346cdeb873182383333d2184dd1,1,28504.65,104.43,429867.15,15,22,0,21,13,0.425099,49.999314,9.10075,0,25,13.33,0,0,0,37,199.95,200.2164943,0,0.26649427,50,29853.23469,208.7350508,0,1,35,0,30,0,0,0,0,0,20180.614,635.175206,0,208.735045,69.57835,0,0,0,3,30,Civic,Ethos
12,0x00eb6f5199cd0b671da371969b1a0f948e982fea,1,0,1460.98,34968.12,1,22,0,15,1,0.051,8.99,1.456564,29.535269,29.535269,29.535269,0,0,0,23,29.53526877,32.04440777,0,2.509139,3,100.337,0,0,0,3,0,3,0,0,0,0,0,99,33.445667,0,0,0,0,0,0,0,3, ,Blockwell say NOTSAFU
13,0x011da0ab16577cbb73374a5b9b869d66253150e7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.337,0,0,0,2,0,2,0,0,0,0,0,1.337,0.6685,0,0,0,0,0,0,0,2, ,Blockwell say NOTSAFU
14,0x0153775362c3071c1860e8dbfd53ccc82fa226f5,1,0,0,15432.58,1,1,0,1,1,1,1,1,0.999538,0.999538,0.999538,0,0,0,2,0.999538,1,0,0.000462,,,,,,,,,,,,,,,,,,,,,,,,,
15,0x015f17e2851ea392351b7f259e4cfd03dc443cef,1,0,0,0,0,1,0,1,0,0.00154,0.00154,0.00154,0,0,0,0,0,0,1,0,0.00154,0,0.00154,,,,,,,,,,,,,,,,,,,,,,,,,
16,0x015fca1d09287823e634ae51237ee1eeff03d9d5,1,0,5065.38,15991.88,1,3,0,3,1,0.00006,0.6771,0.258731,0.775651,0.775651,0.775651,0,0,0,4,0.775651,0.776194,0,0.000543,1,13.37,0,0,0,1,0,1,0,0,0,0,13.37,13.37,13.37,0,0,0,0,0,0,0,1, ,Blockwell say NOTSAFU
17,0x0167409e6106ec3e3f05a09fcf04606918d21ad5,1,259.52,2.6,4417.03,17,2,5,2,6,0.003349,0.07,0.036675,0,0.044494,0.003218,0,0,0,24,0.054713631,0.073349,0,0.01863537,,,,,,,,,,,,,,,,,,,,,,,,,
18,0x016c0261c48d089ac26d0a48f840c9a9d5e203dd,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.337,0,0,0,1,0,1,0,0,0,0,1.337,1.337,1.337,0,0,0,0,0,0,0,1, ,Blockwell say NOTSAFU
19,0x017f86b90a46d8fd999eaefda1339355b98da12f,1,0,0,26040.53,1,1,0,1,1,0.5,0.5,0.5,0.499139,0.499139,0.499139,0,0,0,2,0.499139,0.5,0,0.000861,1,13.37,0,0,0,1,0,1,0,0,0,0,13.37,13.37,13.37,0,0,0,0,0,0,0,1, ,Blockwell say NOTSAFU
20,0x018f2f4b3c9e38607aa7ab4dea23e9d663e3e050,1,0,24.43,370.03,1,2,0,2,1,0.9,2.6,1.75,3.499139,3.499139,3.499139,0,0,0,3,3.499139,3.5,0,0.000861,1,1.337,0,0,0,1,0,1,0,0,0,0,1.337,1.337,1.337,0,0,0,0,0,0,0,1, ,Blockwell say NOTSAFU
21,0x024c344da7208e60356378a252dab771c34be111,1,0,269.49,16083.67,1,21,0,21,1,0.0003,3.987536,0.815339,17.121073,17.121073,17.121073,0,0,0,22,17.12107329,17.12212329,0,0.00105,1,1.337,0,0,0,1,0,1,0,0,0,0,1.337,1.337,1.337,0,0,0,0,0,0,0,1, ,Blockwell say NOTSAFU
22,0x02673ebfbfaed5891f6b14248b0e2753a8758fbf,1,0,0,1648.68,1,1,0,1,1,0.1,0.1,0.1,0.09845,0.09845,0.09845,0,0,0,2,0.09845,0.1,0,0.00155,,,,,,,,,,,,,,,,,,,,,,,,,
23,0x02d0b53ec925f5c5907eb3dd85bededaa4362564,1,1226.72,1037.84,31512.92,2,28,0,25,2,0.001,1,0.373209,1.85895,8.588816,5.223883,0,0,0,30,10.44776569,10.44986569,0,0.0021,3,13.37,0,0,0,3,0,3,0,0,0,0,0,13.37,4.456667,0,0,0,0,0,0,0,3, ,Blockwell say NOTSAFU
24,0x02d1347abe00beaa073058b1414722cdcc31abb3,1,0,8.97,4388.13,1,2,0,2,1,0.5,1.587594,1.043797,2.086733,2.086733,2.086733,0,0,0,3,2.0867329,2.0875939,0,0.000861,1,13.37,0,0,0,1,0,1,0,0,0,0,13.37,13.37,13.37,0,0,0,0,0,0,0,1, ,Blockwell say NOTSAFU
25,0x02f4a464eebb46a50dd087074d7a2cf3f5a3598b,1,0,39557.38,197786.92,0,5,1,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
26,0x02fd82cba3bae39484d5eb7f75b5f3d5f418c691,1,0,3637.35,527415.48,0,145,1,87,0,0,8.6,0.496212,0,0,0,0,0,0,146,0,71.95072335,0,71.95072335,,,,,,,,,,,,,,,,,,,,,,,,,
27,0x0310c4385311d225cbcaca26fefc9ab45d3eba3e,1,3871.61,159.54,8860.02,2,7,0,7,2,0.059521,0.59,0.287483,0.480147,1.528516,1.004331,0,0,0,9,2.008662961,2.012379961,0,0.003717,,,,,,,,,,,,,,,,,,,,,,,,,
28,0x0387cfc283ffcf25a4a6a61e832545bbeb7c8fda,1,1566.74,412.68,7092.3,4,2,0,2,4,0.379,3.4,1.8895,0.1,2.048576,0.943994,0,0,0,6,3.775976,3.779,0,0.003024,,,,,,,,,,,,,,,,,,,,,,,,,
29,0x03b70dc31abf9cf6c1cf80bfeeb322e8d3dbb4ca,1,3545.11,8300.42,341014.55,40,24,0,21,28,0.002652,2.392606,0.450844,0,1.908508,0.270272,0,0,0,64,10.81088587,10.82025598,0,0.009370107,3,37492.16326,37492.16326,0,1,2,0,1,0,0,0,0,16278.05937,21214.1039,18746.08163,37492.16326,37492.16326,37492.16326,0,0,0,1,1,Fortecoin,Fortecoin
30,0x03e115d99f005f9df8accec3f3d07f54b593ee96,1,0,0,410.85,1,1,0,1,1,4,4,4,3.994951,3.994951,3.994951,0,0,0,2,3.994951,4,0,0.005049,1,1.337,0,0,0,1,0,1,0,0,0,0,1.337,1.337,1.337,0,0,0,0,0,0,0,1, ,Blockwell say NOTSAFU
31,0x03f034fb47965123ea4148e3147e2cfdc5b1f7a5,1,9999.38,8870.62,506263.28,32,21,0,14,32,0.1,7,1.02597,0.00015,6.99,0.671358,0,0,0,53,21.48345,21.54536359,0,0.061913592,5,1477.37,0,0,0,4,0,5,0,0,0,0,0,1000,295.474,0,0,0,0,0,0,0,5, ,ROOMDAO COIN (RDC)
32,0x0400f72bca103add12c6793d6194d041983e150a,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
33,0x043375ebc36fff7a4fcef1359f3c89afddf56e08,1,5714.26,1151.26,91554.32,13,15,0,12,6,0,9.995,1.81406,0,8.999139,2.142332,0,0,0,28,27.8503163,27.21089717,0,-0.639419125,3,2300.865464,2299.528464,0,1,2,0,2,0,0,0,0,1.337,2299.528464,1150.432732,2299.528464,2299.528464,2299.528464,0,0,0,1,2,Vezt,Blockwell say NOTSAFU
34,0x046e3a705d9bcd0e53d2b45161b48e39f4bc4090,1,140.5,0,281,2,1,0,1,2,5,5,5,2.496937,2.5,2.498469,0,0,0,3,4.99693738,5,0,0.00306262,1,13.37,0,0,0,1,0,1,0,0,0,0,13.37,13.37,13.37,0,0,0,0,0,0,0,1, ,Blockwell say NOTSAFU
35,0x04727c2bb15f2b83e7d3ce88b008aa68dccea0c4,1,0,0,102.67,1,1,0,1,1,0.001,0.001,0.001,0.0001,0.0001,0.0001,0,0,0,2,0.0001,0.001,0,0.0009,,,,,,,,,,,,,,,,,,,,,,,,,
36,0x049b01966f721db6ec76097043e9d6eccaf719b6,1,13251.47,8664,280824.52,14,11,0,10,11,0.004591,2,0.366056,0,2,0.296909,0,0,0,25,4.156725714,4.026616943,0,-0.130108771,9,627560.1052,607301.96,0,2,7,0,7,0,0,0,0,0,600000,89651.4436,7301.96,600000,303650.98,0,0,0,2,7,Merculet,Merculet
37,0x04a96f1b6f661793787b527f3114f33d7e413b4d,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13.37,0,0,0,1,0,1,0,0,0,0,13.37,13.37,13.37,0,0,0,0,0,0,0,1, ,Blockwell say NOTSAFU
38,0x051005cdcecd916fb8b98643d923646acc7e07cd,1,481.15,945.99,29823.23,3,30,0,26,1,0.001111,6.366482,0.974037,1,14.218517,9.739506,0,0,0,33,29.21851686,29.22109986,0,0.002583,1,1.337,0,0,0,1,0,1,0,0,0,0,1.337,1.337,1.337,0,0,0,0,0,0,0,1, ,Blockwell say NOTSAFU
39,0x052f585fa599bfb4bed290ff30c057627ccd8059,1,0,629.46,3704.55,1,2,0,2,1,0.004,0.12,0.062,0.1,0.1,0.1,0,0,0,3,0.1,0.124,0,0.024,,,,,,,,,,,,,,,,,,,,,,,,,
40,0x054aa7a66dcdf5fd76a3914fb5e02650c1afa65b,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13.37,0,0,0,1,0,1,0,0,0,0,13.37,13.37,13.37,0,0,0,0,0,0,0,1, ,Blockwell say NOTSAFU
41,0x058e49378461c239dae065114cd9fa1c0dbc25c1,1,935.49,288.71,23063.03,12,41,0,39,10,0.001,10,1.24261,0,48.1364,4.244608,0,0,0,53,50.93530057,50.94702061,0,0.01172004,1,100,0,0,0,1,0,1,0,0,0,0,100,100,100,0,0,0,0,0,0,0,1, ,blockwell.ai KYC Casper Token
42,0x059615ea15f7f0e2a276103127bbace30223d294,1,0,5566.96,47810.23,1,5,0,5,1,0.461128,0.8,0.552226,2.759049,2.759049,2.759049,0,0,0,6,2.759049,2.761128,0,0.002079,1,1.337,0,0,0,1,0,1,0,0,0,0,1.337,1.337,1.337,0,0,0,0,0,0,0,1, ,Blockwell say NOTSAFU
43,0x0596e5e05fd430f7d83b38b23e250bfa98900d7f,1,376.37,4554.35,19346.52,3,4,0,4,2,0.016771,0.796,0.408193,0.04226,1.258789,0.543613,0,0,0,7,1.63083851,1.63277051,0,0.001932,1,0,100,0,1,0,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,1,0,blockwell.ai KYC Casper Token, 
44,0x05dd62c007cde143b402fa5da3937c40c70b4b14,1,8921.53,538.88,126876.83,8,103,0,101,5,0.005,420,6.07761,0,250,78.248789,0,0,0,111,625.990313,625.9938806,0,0.003567522,6,12262.38466,12261.04766,0,1,4,0,4,0,0,0,0,0,10389.14506,3065.596166,1871.902601,10389.14506,6130.523832,0,0,0,2,4,XENON,XENON
45,0x05e18136f048d648ee73dd5d269d590ff2873c33,1,0,442.24,7647.73,1,15,0,14,1,0.1,19.266296,2.71094,40.663235,40.663235,40.663235,0,0,0,16,40.66323508,40.66409608,0,0.000861,,,,,,,,,,,,,,,,,,,,,,,,,
46,0x05e3650bfc907cc1b3c774f0c053c8b990ce1a4b,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
47,0x05e5061133f752ea565f40f1e755d9604c313bc9,1,113084.05,0,226168.1,2,1,0,1,2,1,1,1,0.1,0.896682,0.498341,0,0,0,3,0.996682,1,0,0.003318,5,222.4467836,0,0,0,5,0,5,0,0,0,0,0,201.446784,44.489357,0,0,0,0,0,0,0,5, ,XENON
48,0x05e85d73eaf6fef228294fdf867abba98552a99f,1,2007.34,87.19,6370.78,3,4,0,2,3,0.007082,1.64,0.431776,0.000556,1.6,0.566852,0,0,0,7,1.7005555,1.72710242,0,0.02654692,1,1.337,0,0,0,1,0,1,0,0,0,0,1.337,1.337,1.337,0,0,0,0,0,0,0,1, ,Blockwell say NOTSAFU
49,0x05f71263372ac109cd13faa86d13a0e5830fcedc,1,0,0,0,0,1,0,1,0,0.5,0.5,0.5,0,0,0,0,0,0,1,0,0.5,0,0.5,1,1.337,0,0,0,1,0,1,0,0,0,0,1.337,1.337,1.337,0,0,0,0,0,0,0,1, ,Blockwell say NOTSAFU
50,0x05fbf1e3f105df6a4553f3c7f2ed93070a4bab46,1,76.43,341.23,24937.17,45,63,0,50,33,0.000315,49.9,1.499907,0,105.55,3.396667,0,0,0,108,152.85,94.49412852,0,-58.35587148,108,1095772.784,921362.1696,0,6,45,0,37,0,0,0,0,0,430066.2,15010.58608,0,454944.208,26324.63342,0,0,0,28,37,OmiseGO,OmiseGO
51,0x06091b32533835265bfa6ef8b32b04747ba77bb2,1,21.68,369.91,6005.32,4,16,0,16,2,0.001676,2.770609,1.071856,0.5,14.146761,4.286585,0,0,0,20,17.14634108,17.14969723,0,0.00335615,1,1.337,0,0,0,1,0,1,0,0,0,0,1.337,1.337,1.337,0,0,0,0,0,0,0,1, ,Blockwell say NOTSAFU
52,0x0628b88c7a677773f7a22d408a8e694207701e72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
53,0x0642e5db00442400868546d5f8e21581dfe4f072,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
54,0x0669398307efefb60030ff328a0cb6a3a840182c,1,0,1201.83,50477,0,42,1,10,0,0,13,2.081817,0,0,0,0,0,0,43,0,87.4363053,0,87.4363053,2,21.9,0,21.9,0,1,1,1,0,0,0,0,21.9,21.9,21.9,0,0,0,0,0,0,0,1, ,Celer Network
55,0x069757a3dfd227e39493890e83de11598bfc7f85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
56,0x0697f9d4db21472b3461aa07be39b16cd5b56eca,1,11663.89,158.31,40532.58,3,35,0,28,3,0,3.99,0.748651,0,16.199523,8.733174,0,0,0,38,26.19952346,26.20278288,0,0.003259418,5,3495.337,1994,0,1,3,0,4,0,0,0,0,0,1994,873.83425,1994,1994,1994,0,0,0,1,4,DADI,Free BOB Tokens - BobsRepair.com
57,0x069a6761e9897ced3f5d13f4aa9ad745e526c913,1,0,34540.87,172704.37,0,5,1,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
58,0x071cf579507dd0661845694f709e68cf7ea506a4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13.37,0,0,0,1,0,1,0,0,0,0,13.37,13.37,13.37,0,0,0,0,0,0,0,1, ,Blockwell say NOTSAFU
59,0x07315f6ddf3348c6d5f561ca6cb7451f103075aa,1,0,290.22,2698.07,1,2,0,1,1,0.27787,0.590574,0.434222,0.868234,0.868234,0.868234,0,0,0,3,0.86823351,0.86844351,0,0.00021,,,,,,,,,,,,,,,,,,,,,,,,,
60,0x07425527076b4f73b5616716dda54fb14cf1219e,1,0,0,4511.43,1,1,0,1,1,0.60078,0.60078,0.60078,0.599951,0.599951,0.599951,0,0,0,2,0.599950713,0.600780486,0,0.000829773,,,,,,,,,,,,,,,,,,,,,,,,,
61,0x074f95064a579de2287b21b6ed33033c18cb80ef,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.337,0,0,0,2,0,2,0,0,0,0,0,1.337,0.445667,0,0,0,0,0,0,0,2, ,Tronix
62,0x0755e59d505c9b473aec50b476df3ea2045739aa,1,0,151.12,987.17,1,5,0,4,1,0.09,1.525676,0.542196,2.709404,2.709404,2.709404,0,0,0,6,2.70940422,2.71097922,0,0.001575,,,,,,,,,,,,,,,,,,,,,,,,,
63,0x075dc757633700b257e090d62b62aac5997a99d4,1,0,0,13480.93,1,1,0,1,1,0.469,0.469,0.469,0.468,0.468,0.468,0,0,0,2,0.468,0.469,0,0.001,,,,,,,,,,,,,,,,,,,,,,,,,
64,0x077ab20cd24146ddcd6fe7b805ae007f29e4d842,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13.37,0,0,0,1,0,1,0,0,0,0,13.37,13.37,13.37,0,0,0,0,0,0,0,1, ,Blockwell say NOTSAFU
65,0x078c2b3b09528fd7b80c9ee715f378d382f9139b,1,0,885.96,73255.98,1,10,0,10,1,0.011609,4.99,0.997485,9.973989,9.973989,9.973989,0,0,0,11,9.973989078,9.97485007,0,0.000860992,4,1502.115707,0,0,0,4,0,4,0,0,0,0,0,1500,375.528927,0,0,0,0,0,0,0,4, ,SAFE.AD - 20% DISCOUNT UNTIL 1 MAY
66,0x07920356975798037f26a934db461c7aafc8aa05,1,272.57,1.46,1377.5,5,10,0,2,5,0,2.989391,0.308882,0,2.688446,0.617689,0,0,0,15,3.088446,3.088824,0,0.000378,1,13.37,0,0,0,1,0,1,0,0,0,0,13.37,13.37,13.37,0,0,0,0,0,0,0,1, ,Blockwell say NOTSAFU
67,0x07a065bbc565002740caccb22b452fdd029ba988,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
68,0x07bc847f898d370ae6991ee9cc3abd16797e5cff,1,0,162.45,11146.08,1,51,0,48,1,0.00075,10,1.042359,54.159873,54.159873,54.159873,0,0,0,52,54.15987303,53.16029303,0,-0.99958,,,,,,,,,,,,,,,,,,,,,,,,,
69,0x07cfb04588154b06e3958b5d70408244102014d5,1,0,58.82,206575.92,1,14,0,13,1,0.014016,7,1.793739,25.11148,25.11148,25.11148,0,0,0,15,25.11148009,25.11234109,0,0.000861,3,1.337,0,0,0,2,0,3,0,0,0,0,0,1.337,0.445667,0,0,0,0,0,0,0,3, ,Blockwell say NOTSAFU
70,0x07f101dec7fbee347a0f81a1c4ca724c53d491a4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
71,0x07faacbe52a8b5d3d22f49206bdd9d9c1f71991d,1,0,25120.67,175844.67,0,7,1,4,0,0,0.086235,0.012319,0,0,0,0,0,0,8,0,0.086235,0,0.086235,,,,,,,,,,,,,,,,,,,,,,,,,
72,0x081a48fcfb87ddc415c31ddae1eb3ba5d5696cdb,1,0,0,0,1,0,0,0,1,0,0,0,0.004941,0.004941,0.004941,0,0,0,1,0.004940665,0,0,-0.004940665,1,13.37,0,0,0,1,0,1,0,0,0,0,13.37,13.37,13.37,0,0,0,0,0,0,0,1, ,Blockwell say NOTSAFU
73,0x08389b19ad52f0d983609ab785b3a43a0e90355f,1,29.52,41.83,870.97,4,18,0,12,4,0.334,4.985,0.948817,0.989517,7,4.269083,0,0,0,22,17.07633249,17.07869749,0,0.002365,,,,,,,,,,,,,,,,,,,,,,,,,
